"","DOY","SM_sat","SM_gr"
"1",1,0.332923792135713,0.479809979166667
"2",2,0.172535011732578,0.47307376875
"3",3,0.353744103658198,0.519154254166667
"4",4,0.347278422415254,0.47992644516129
"5",5,0.373001826173067,0.472603083333333
"6",6,0.330480533611772,0.471095509375
"7",7,0.374630002039671,0.477608822916667
"8",8,0.145591033363339,0.475490865625
"9",9,0.319927455419299,0.4620016125
"10",10,0.314517409038541,0.447332
"11",11,0.310221849137542,0.44287981875
"12",12,0.318132042276857,0.506353222916667
"13",13,0.145870979475972,0.471764014583333
"14",14,0.305576921391484,0.459608073958333
"15",15,0.283638485109804,0.454733586458333
"16",16,0.0908564627170563,0.454158491666667
"17",17,0.31476534798145,0.468681238541667
"19",19,0.322073903536794,0.504256736458333
"20",20,0.324000456136462,0.466612234146341
"21",21,0.351598795557021,0.458689173958333
"22",22,0.31832378941178,0.463756689583333
"24",24,0.318376784050462,0.479660824444444
"25",25,0.317147726309297,0.481952865625
"26",26,0.322421509784457,0.491772151041667
"27",27,0.29948094603419,0.526925819791667
"28",28,0.319550555151698,0.491471232291667
"29",29,0.322877025580403,0.489125810416667
"30",30,0.312318555653092,0.472598784375
"31",31,0.319152966719863,0.472438411458333
"32",32,0.332781883156297,0.476667796
"43",43,0.324807397246358,0.5001942
"44",44,0.308755875039098,0.493038907291667
"45",45,0.316578687036034,0.48979860625
"46",46,0.30181137063503,0.487446530208333
"47",47,0.147347656726834,0.476837029166667
"48",48,0.301979397922751,0.469472546875
"49",49,0.295292730432746,0.448777425
"50",50,0.287096309149262,0.477037740625
"51",51,0.319365573310849,0.49641610625
"52",52,0.314509173375365,0.489134653125
"53",53,0.304189111828801,0.507759845833333
"54",54,0.316257863825557,0.525430515625
"55",55,0.306476281130313,0.499527621875
"56",56,0.298570139604804,0.490873155208333
"57",57,0.306834404754636,0.513951821875
"58",58,0.315579245901105,0.552526484375
"59",59,0.318706719863412,0.536935122222222
"62",62,0.309289972978827,0.5114770275
"63",63,0.311426420128343,0.515135845
"65",65,0.291900043070313,0.49122213125
"67",67,0.296491165155169,0.508760052083333
"68",68,0.298044419628379,0.512206507291667
"70",70,0.293427962648866,0.493449142708333
"71",71,0.316882194954154,0.486566134375
"72",72,0.31057736713886,0.533646714583333
"73",73,0.286238840198514,0.52874112631579
"74",74,0.245145593178269,0.50590356875
"75",75,0.298996763604877,0.482627997916667
"76",76,0.294676699620482,0.473774079166667
"77",77,0.276727651500699,0.461453879787234
"78",78,0.28204614742994,0.4539226375
"79",79,0.283001747316119,0.44599695625
"80",80,0.162048244941234,0.435495863636364
"81",81,0.273463858139512,0.422793721875
"82",82,0.155958958250284,0.414785038541667
"83",83,0.269822839576003,0.412613895833333
"84",84,0.273304146111009,0.408876802083333
"85",85,0.150632837498188,0.396587760416667
"86",86,0.254502771562335,0.385775501041667
"87",87,0.145870209556818,0.376859451666667
"130",130,0.321077872800824,0.523014947058824
"131",131,0.312648801010845,0.53464465
"132",132,0.310625281631944,0.535871336458333
"133",133,0.154704418611526,0.515583965625
"134",134,0.302556478571889,0.498197786458333
"135",135,0.291189440888164,0.482215422916667
"136",136,0.121474805122611,0.463841380208333
"137",137,0.262130894511935,0.450754495833333
"138",138,0.272266306483743,0.43923310625
"139",139,0.254860955172774,0.4328018
"140",140,0.251305919641254,0.430810177083333
"141",141,0.114371916615961,0.421772140625
"142",142,0.249325413149592,0.420501236458333
"143",143,0.262924497115609,0.418989247916667
"145",145,0.236665677034852,0.408423423958333
"147",147,0.217813940316436,0.394777240625
"148",148,0.218327825912831,0.389757326041667
"149",149,0.0758543685078621,0.385833
"150",150,0.212281373405455,0.365327029166667
"152",152,0.272876416391132,0.370199351041667
