"Date","LE_raw","VPD","Reco","GPP","Tair","NEE","SW_IN","P","RH","Rn_raw","G_raw","H_raw","ET_raw","Pa","WS","WVP","Tsoil","siteCode","H_qaqc","rh","es","sw_in","lw_out","vp","G_qaqc","t_avg","vpd","ws","theta_mean","wd","Rn_qaqc","sw_out","theta_1","LE_qc_flag","H_qc_flag","LE_qaqc","t_dew","lw_in","theta_2","t_min","t_max","ppt","Rn_subday_gaps","H_subday_gaps","LE_subday_gaps","G_subday_gaps","rso","flux","energy","H_corr","ebr_5day_clim","DOY_y","DOY_x","LE_corr","flux_corr","ebr","ebc_cf","ebr_corr","ET_qaqc","ET_corr","gridMET_ETr","gridMET_ETo","gridMET_prcp","ETrF","ETrF_filtered","ET_fill","ET_gap","ET_fill_val"
2019-01-01,28.7076627660417,4.92807649166667,1.48566010032823,1.43985792483535,7.75502675,0.0458021754928718,76.0559329839583,0,69.5484179166667,75.4598809104167,3.77401844791667,14.44737273225,NA,101.624489583333,3.6759823375,0.74040238125,10.3996993958333,"TFPR",14.44737273225,69.5484179166667,1.06075388917292,76.0559329839583,8397.75947916667,0.567946240006255,3.77401844791667,7.75502675,0.492807649166667,3.6759823375,47.9809979166667,136.504163958333,75.4598809104167,0.616665008333333,52.4447897916667,4.6875,4.4375,28.7076627660417,-1.24357599845615,8397.78014583333,43.5172060416667,5.062205,11.27042,0,0,0,0,0,171.007414489799,43.1550354982917,71.6858624625,18.5741519427635,0.777821392695061,1,1,36.9077824750653,55.4819344178288,0.602002040791052,1.28564219162849,0.777821392695061,0.999054123351658,1.2844261327013,1.7,1.3000001,2.1000001,0.755544783941942,0.668808307316621,1.13697412243826,"False",NA
2019-01-02,27.6732725839552,4.91109275734623,1.46526850100044,1.43985792483535,7.13490595382771,0.0254105761650857,0.137996775875,0,62.62168,93.3260930589552,-0.548575916666667,15.0228926098041,NA,101.7290375,4.847131125,0.6184198625,10.49820375,"TFPR",15.0228926098041,62.62168,0.982464653544841,0.137996775875,8396.6635,0.456226753544841,-0.548575916666667,6.713204125,0.5262379,4.847131125,47.307376875,139.4744875,93.3260930589552,0.6365444875,51.7015375,2.875,3.625,27.6732725839552,-4.13667688453083,8396.67625,42.91321625,6.233913,7.045654,0,0,0,0,0,171.464333704562,42.6961651937593,93.8746689756218,19.3600425517975,0.775974152412662,2,2,35.6626216194359,55.0226641712333,0.454820940086053,1.2887027188867,0.775974152412662,0.962103145054532,1.23986493888122,0.7,0.5,59.2,1.77123562697317,0.668808307316621,0.468165815121635,"False",NA
2019-01-03,33.784846512771,4.8844191711553,1.43663455285373,1.43985792483535,6.30003261104798,-0.00322337198162069,122.370489333333,0,64.59798,193.627499663813,0,24.9112646079638,NA,98.113665,4.86935775,0.613521383333333,8.6877745,"TFPR",24.9112646079638,64.59798,0.937013511754855,122.370489333333,8405.26116666667,0.450243661754855,0,6.00944666666667,0.48676985,4.86935775,51.9154254166667,102.804141666667,193.627499663813,0.645585083333333,57.5721875,3.16666666666667,3.25,33.784846512771,-4.33156939744522,8405.28366666667,46.2586633333333,3.510151,6.864258,0,0,0,0,0,171.957177530541,58.6961111207347,193.627499663813,32.1665436195899,0.774446421803069,3,3,43.624511085109,75.7910547046989,0.303139333114596,1.29124490971473,0.774446421803069,1.17379644904582,1.51565868987164,0.7,0.6,2.2,2.16522669981663,0.668808307316621,0.468165815121635,"False",NA
2019-01-04,40.0498766657738,6.15003251944444,1.49380358231388,1.43985792483535,8.10424294027778,0.0539456574785297,231.080344548387,0,57.584875483871,178.454205231399,-1.09203463541667,16.0755030261905,NA,100.336683870968,2.53197166129032,0.713319364516129,8.63215383870968,"TFPR",16.0755030261905,57.584875483871,1.27613752932342,231.080344548387,8387.70874193548,0.532257226097615,-1.09203463541667,10.1668841290323,0.743880303225806,2.53197166129032,47.992644516129,143.505978064516,178.454205231399,0.561520483870968,52.089134516129,4.80645161290323,5.03225806451613,40.0498766657738,-2.18882850347739,8387.74141935484,43.896154516129,2.847307,16.43554,0,0,0,0,0,172.485760001948,56.1253796919643,179.546239866815,20.7641060800975,0.774196729884697,4,4,51.7308781086411,72.4949841887386,0.312595684173599,1.29166135866905,0.774196729884697,1.39697817948934,1.80442273335021,3.1000001,2.1000001,0,0.5820718306913,0.668808307316621,2.07330581956236,"False",NA
2019-01-05,35.8763185114583,9.77557745833333,1.59058724371534,1.43985792483535,11.2795054791667,0.150729318879986,151.501023014583,0,54.526906875,150.960811125,-3.34008188541667,15.1203370041667,NA,101.572489583333,1.641305875,0.676793747916667,8.62205610416667,"TFPR",15.1203370041667,54.526906875,1.45707872162193,151.501023014583,8390.169,0.479520975788593,-3.34008188541667,11.2795054791667,0.977557745833333,1.641305875,47.2603083333333,266.511733527083,150.960811125,0.57132535,51.1659220833333,6.54166666666667,6.58333333333333,35.8763185114583,-3.77553902144028,8390.20014583333,43.3546945833333,3.208028,22.14384,0,0,0,0,0,173.049880002584,50.996655515625,154.300893010417,NA,NA,5,5,78.7112188306834,NA,0.330501363411956,NA,NA,1.25272900270591,2.74843770929385,4.1,2.7,0,NA,0.670350660803377,2.74843770929385,"True",2.74843770929385
2019-01-06,19.77351134125,7.79120958333333,1.6620251155664,1.43985792483535,13.4780901041667,0.222167190731041,107.896780366667,0.00208333333333333,72.21252,107.408845360417,6.37192123125,3.4670742375,NA,101.444697916667,3.0692101875,1.15340368541667,9.9491953125,"TFPR",3.4670742375,72.21252,1.64003057396527,107.896780366667,8382.55495833333,0.860909615631939,6.37192123125,13.4780901041667,0.779120958333333,3.0692101875,47.1095509375,299.992204166667,107.408845360417,0.51459069375,51.18294625,4.10416666666667,3.91666666666667,19.77351134125,3.84717568790338,8382.58160416667,43.036155625,5.853411,21.61556,0.1,0,0,0,0,173.649321211638,23.24058557875,101.036924129167,NA,NA,6,6,74.8864820924912,NA,0.230020715486538,NA,NA,0.691902819989304,2.62038275573152,3.9,2.6000001,0,NA,0.671893014290134,2.62038275573152,"True",2.62038275573152
2019-01-07,13.4609398145833,8.09741147916667,1.81304906717905,1.43985792483535,18.3719072916667,0.373191142343699,76.3669137958333,0,78.0684041666667,75.9677152958333,0.1238563,2.24462073333333,NA,101.38424375,2.6971917625,1.66261283333333,13.0381579166667,"TFPR",2.24462073333333,78.0684041666667,2.13242113425378,76.3669137958333,8369.453,1.32267998633711,0.123856299999999,18.3719072916667,0.809741147916667,2.6971917625,47.7608822916667,300.988086729167,75.9677152958333,0.4268734875,51.9907295833333,3.1875,2.85416666666667,13.4609398145833,10.8547373758092,8369.48079166667,43.531035,15.33377,22.41876,0,0,0,0,0,174.283852051534,15.7055605479167,75.8438589958333,NA,NA,7,7,63.2137486237684,NA,0.207077550586917,NA,NA,0.47323155803354,2.22233671366374,3.3,2.3,0,NA,0.67343536777689,2.22233671366374,"True",2.22233671366374
2019-01-08,22.32780768125,9.35182802083333,1.7623380114333,1.43985792483535,16.6377772916667,0.322480086597948,94.2400949375,0.00208333333333333,72.597854375,93.8254568426875,2.7672425,6.88625570833333,NA,101.8038,1.91688171666667,1.37640156666667,13.91881375,"TFPR",6.88625570833333,72.597854375,1.92314026561009,94.2400949375,8374.778875,0.987957463526754,2.7672425,16.6377772916667,0.935182802083333,1.91688171666667,47.5490865625,184.5430425,93.8254568426875,0.442170095833333,52.016118125,4.625,4.47916666666667,22.32780768125,5.97457244527132,8374.80620833333,43.082055,12.88006,23.5009,0.1,0,0,0,0,174.953225638739,29.2140633895833,91.0582143426875,NA,NA,8,8,53.8483084450297,NA,0.320828423887596,NA,NA,0.783648826066393,1.88993761953821,2.8,2.1000001,0,NA,0.674977721263647,1.88993761953821,"True",1.88993761953821
2019-01-09,32.9744296395833,10.4757720208333,1.60712082114048,1.43985792483535,11.5089379375,0.167262896305126,142.003724739583,0,40.24031875,141.487476220833,-2.37294229166667,11.3542159685417,NA,102.546122916667,2.48388605,0.536419445833333,12.73428375,"TFPR",11.3542159685417,40.24031875,1.37096544224212,142.003724739583,8385.72304166667,0.323388240158789,-2.37294229166667,11.5089379375,1.04757720208333,2.48388605,46.20016125,157.736496666667,141.487476220833,0.5416061125,51.2587447916667,5.77083333333333,5.77083333333333,32.9744296395833,-9.11365899845142,8385.74829166667,41.1415777083333,7.225835,14.87797,0,0,0,0,0,175.657179738415,44.328645608125,143.8604185125,NA,NA,9,9,65.8590190514746,NA,0.308136498325794,NA,NA,1.15165299070787,2.30016825415137,3.4,2.2,0,NA,0.676520074750403,2.30016825415137,"True",2.30016825415137
2019-01-10,27.0691915845833,8.83638291666667,1.5476493947314,1.43985792483535,9.71866566666667,0.10779146989604,83.4321601486875,0,47.6072345833333,82.8689853270833,0.88023480952381,9.02143370166667,NA,102.123158333333,1.51788797083333,0.54584833125,11.0525416666667,"TFPR",9.02143370166667,47.6072345833333,1.23777440929791,83.4321601486875,8391.36616666667,0.354136117631247,0.88023480952381,9.71866566666667,0.883638291666667,1.51788797083333,44.7332,216.364088541667,82.8689853270833,0.590311639583333,50.2542752083333,6.16666666666667,6.16666666666667,27.0691915845833,-8.33420576468975,8391.39333333333,39.2121247916667,4.322777,14.64733,0,0,0,0,0,176.395436723842,36.09062528625,81.9887505175595,NA,NA,10,10,44.7295553021583,NA,0.440189965799277,NA,NA,0.943796194713337,1.55954358494547,2.3,1.5,0,NA,0.678062428237159,1.55954358494547,"True",1.55954358494547
